hgnc_symbol	Six1KD5	Scramble	Scramble.1	Six1KD6	Scramble.2	Six1KD5.1	Scramble.3	Six1KD5.2	Six1KD6.1
ABHD13	1.197621303	0.173537383	-0.044037668	0.145290909	-0.65085001	0.143907722	-0.542794704	1.474525949	-1.897200884
ABHD14A	0.997388778	1.061233896	-0.761019682	1.329411915	-1.097871631	-0.063262556	-0.744582428	-1.229167532	0.507869241
ABHD14B	0.871436175	0.999799243	-2.163407604	0.226288186	-0.501510069	1.000837971	0.025719679	-0.503621542	0.04445796
ABHD15	0.851062682	-0.06638439	0.588977709	-0.775682004	1.051667581	1.247237126	-1.58495703	-0.276194504	-1.03572717
ABHD16A	-0.247369543	0.598608311	-0.218608606	-1.106548076	0.07329721	-0.694019757	1.520375006	-1.287047073	1.361312529
ABHD17A	0.888443633	1.46190327	-0.123408118	-0.398698002	-0.358795013	-0.186900111	-1.698388138	-0.7314048	1.147247278
ABHD17AP1	1.163684337	1.624473174	-0.47491049	-0.813091612	-0.075295104	0.557621549	-1.076112238	-1.23896025	0.332590634
ABHD17AP4	-0.656657937	0.163315986	0.435197033	-0.652552625	-0.56953678	-0.119056845	1.745715329	1.146036441	-1.492460602
ABHD17B	0.033686463	0.30937048	1.881712557	-0.516046482	-0.04173801	0.334532033	-0.62428228	0.461217196	-1.838451957
ABHD17C	-0.092583673	-0.286948666	-1.470536263	0.637772371	-0.040111577	0.027200953	-0.956758952	0.080627939	2.10133787
ABHD18	-0.407830193	0.542374505	2.0224128	0.357283931	-0.088434394	0.474813178	-0.741697888	-0.757092263	-1.401829676
ABHD2	0.027010145	-1.787555264	-1.125552965	0.55071609	-0.332608565	0.368585413	-0.090027502	0.945240732	1.444191914
ABHD3	1.426805996	1.571536481	-0.380076344	-0.944268782	-0.092245866	-0.363053403	-1.47586124	-0.102552863	0.359716021
ABHD4	0.117487842	0.436538083	0.705971402	0.718174198	-1.821896139	0.869094889	-0.818604722	-1.107210489	0.900444937
ABHD5	-0.965566888	-2.027039239	0.31931732	0.294524976	0.669844102	-0.598149478	0.828079415	0.436024007	1.042965785
ABHD6	0.648870358	0.885211646	-1.507286653	-0.173210583	-1.156804063	0.369708992	-0.172513402	-0.537209953	1.643233658
ABHD8	1.324404532	1.322315366	-0.218701362	-0.558420747	-1.003039063	0.416071578	-1.483991285	-0.505976131	0.707337112
ABI1	-0.35841905	-1.774913906	0.984604304	0.854469714	0.262878338	-0.280996397	1.479583488	-0.543382012	-0.623824477
ABI2	-0.008016769	2.261707855	-0.244212169	0.474571287	0.254744475	-0.298138553	-0.639906061	-1.355975906	-0.44477416
ABI3	0.412509115	-0.282965875	0.61848332	-1.277462925	2.088278571	-0.070097756	0.026601749	-0.425507768	-1.08983843
ABL1	-1.360650132	-1.496173435	-0.004595394	0.868631363	-0.011310026	-0.682441451	1.253474761	0.930617209	0.502447104
ABL2	-1.068739878	-2.180484097	0.16644701	0.671810987	0.796304755	-0.047433741	0.463782034	0.764727641	0.43358529
ABLIM1	0.77858254	-1.537510151	-0.918264196	0.313679897	-0.751071647	0.863056336	-0.806709133	1.101036971	0.957199382
ABLIM2	0.233520536	-0.745239938	-1.139297019	1.083684975	-1.182706924	0.841000999	-0.907554146	0.497212112	1.319379404
ABLIM3	0.703786707	-1.227835252	-1.40673965	0.381081691	-0.523377552	1.075748676	-0.734889428	0.418093415	1.314131392
ABR	0.812455127	0.445126199	1.089106728	0.714884315	-1.328704699	0.996347951	-1.241806152	-0.881771541	-0.605637929
ABRACL	0.932454548	0.033441753	0.34520035	-0.992617512	1.459928108	0.685256744	-1.515777561	-1.055821432	0.107935003
ABRAXAS1	0.150527528	2.324422793	-1.369585773	-0.263889814	0.386627351	-0.369738888	-0.127364411	-0.193150533	-0.537848253
ABRAXAS2	-0.445569437	-0.529779647	1.193750699	0.059383845	-0.76653104	-0.657423989	1.810358066	0.555173632	-1.21936213
ABT1	-0.255235598	-1.786875626	0.231950907	0.288682258	1.64950454	-0.813232778	1.015081778	0.097530261	-0.427405743
ABTB1	0.480375135	1.226357312	-1.597103941	0.67266567	-1.102447813	0.365392047	-0.432190706	-0.715234476	1.102186772
ABTB2	-0.053447507	-2.175460951	-0.4984853	0.25973177	-0.536118601	0.581063747	0.67178667	1.287369826	0.463560346
AC000089.1	-0.26931132	2.366580075	-0.150543984	0.090719187	-0.562069612	-1.081014623	0.024061329	0.392139955	-0.810561007
AC000123.3	-1.662515277	-1.049979192	0.597922622	0.607156591	0.637539026	0.612371829	0.370669717	1.057459882	-1.170625199
AC002056.1	0.127223032	0.688437651	0.808969911	-0.296113683	1.813649435	-1.347206084	-0.18076929	-0.402138712	-1.212052261
AC002070.1	0.793886255	1.678786192	-0.32706619	-0.239603427	-0.844083515	0.982029759	0.115262247	-0.651938815	-1.507272506
AC002074.1	-0.122578906	0.90415968	1.303961879	0.585319444	-1.604310868	0.246037418	0.388341819	-1.518602526	-0.182327941
AC002310.6	0.142515408	-0.332664449	2.120405377	0.170050995	-1.520419005	-0.536032476	0.394501276	-0.715803628	0.277446502
AC002351.1	0.719602029	0.269426387	-1.124450609	-0.60390863	0.203178735	-0.630659551	-1.129534735	0.30288554	1.993460835
AC002454.1	0.470309511	-2.421643601	-0.019861458	-0.027927344	1.094427179	0.739358544	-0.259742547	0.138235291	0.286844427
AC002467.1	-1.336709221	0.701978057	0.925384207	-0.75926199	-0.360364787	0.162687634	1.1898462	-1.397231271	0.87367117
AC003092.1	-0.163220416	-1.62329006	-0.519614151	-0.069157497	-0.481748229	-0.565553493	1.28875109	0.531157921	1.602674836
AC003102.1	-0.297607733	-0.227569475	1.789465242	0.12675976	-1.127427638	1.159910898	-0.81990066	-1.066824868	0.463194475
AC003665.1	-0.406405602	-0.16389232	-0.784077778	1.087235836	-0.834023594	1.468802616	-0.397264882	-1.209907383	1.239533108
AC003681.1	-1.181245814	-1.285961532	0.440396759	1.980927827	-0.304101179	0.149111737	0.372649986	0.445431751	-0.617209535
AC004057.1	-0.348713157	-0.391947782	-0.833246459	0.052758713	1.042237385	-0.971257437	0.650745776	1.858321187	-1.058898227
AC004076.2	-1.674149801	0.83863091	0.965970932	1.510188569	-0.690126852	-0.533090093	0.109146457	-0.692901268	0.166331145
AC004148.2	-0.009906674	1.301186345	-2.009164748	0.295700217	-0.488418515	1.309018299	0.057572696	0.020276031	-0.476263651
AC004263.2	-0.610276087	-2.152354977	0.112145523	0.683434774	0.467587699	1.293435233	-0.56163157	0.466225032	0.301434372
AC004264.1	-0.315909312	0.266587702	-1.682803787	-0.906301758	0.171297005	0.095205592	1.951847976	0.556138989	-0.136062406
AC004453.1	0.552702179	2.188476541	-0.637169599	-0.67087259	0.43054866	-0.334006367	-0.733982442	0.271781038	-1.067477418
AC004475.1	-0.449154582	-1.335198468	0.632836239	0.38964551	-0.402295996	-0.847997618	1.939334979	0.67617492	-0.603344985
AC004477.1	-1.102928092	0.157990084	-0.350555949	0.677630001	-1.770771911	0.141800714	1.365269798	-0.178989821	1.060555177
AC004706.3	-0.813805068	-1.668507108	0.630654444	-0.242905247	0.304509833	-0.206794428	1.605700263	1.003910139	-0.612762827
AC004801.2	-0.050935062	-2.047652759	0.757905587	0.830206482	0.445995053	0.979847685	0.551104166	-0.695404205	-0.771066946
AC004803.1	-0.002628949	-1.52951518	-0.291403102	1.322976971	0.116747329	1.632094535	-1.017325958	-0.323330958	0.092385314
AC004812.2	0.809688977	0.183652769	-0.217080276	0.257140918	-0.471901866	1.586073534	0.391710357	-2.005063795	-0.534220617
AC004816.1	-0.525231662	-0.274886187	1.587062408	-0.035448768	-0.068779954	-0.156231468	1.216441068	-1.896348862	0.153423425
AC004835.1	-0.113921181	1.537319556	-0.710041467	-1.626735409	0.202112422	-0.838260095	0.223732941	1.295665878	0.030127355
AC004854.2	-0.676140531	-1.711864602	0.308505285	0.52018048	-0.967936959	0.623306624	0.246414707	-0.033423283	1.690958278
AC004890.2	0.262313551	0.598884236	-2.498018841	0.970374783	-0.079491766	0.209955976	0.531457644	0.172476792	-0.167952376
AC004908.1	-1.282483477	0.988289959	-0.64772328	1.470236832	-1.279455354	0.238301279	0.68053924	-0.643489813	0.475784615
AC004908.2	0.518071375	-0.397990388	-1.547243528	0.127914005	-0.239757969	1.671784482	0.37083611	0.759677248	-1.263291334
AC004943.2	0.317865746	1.380606551	-1.15843392	-1.712938238	0.341518213	-0.100767997	0.850623685	-0.616156949	0.69768291
AC004980.1	-0.98273904	-1.344817139	-0.440628293	0.33347864	-0.243439313	-0.731144265	1.650494369	1.04625562	0.712539421
AC004982.2	0.147369763	-2.212959235	-0.002924935	0.50793119	1.302297753	0.250788184	-0.81835234	0.24936683	0.576482789
AC004987.2	0.273851437	1.697664507	1.266778999	-0.167789477	0.263338163	-0.487642221	-0.494938544	-1.392118906	-0.95914396
AC005000.1	0.546099022	1.802199075	0.625054084	-0.476142875	0.629800245	-1.022362674	-1.26016664	-0.896572558	0.052092321
AC005041.3	0.471667621	1.071383511	-0.275642846	-1.572325804	-1.339365042	1.138055192	0.820018862	-0.524827666	0.211036172
AC005046.1	-0.378052931	-1.797429607	-0.309237343	0.341174996	1.0151422	1.094819065	0.97835964	0.152777472	-1.097553491
AC005077.4	0.288381774	-1.821447784	-0.812359643	0.672636052	-0.834548851	0.763350508	-0.025613768	0.318576732	1.45102498
AC005162.3	0.48789965	1.300970977	1.471055366	-0.196559598	-1.012335303	0.439184551	-0.209225561	-1.09662117	-1.184368913
AC005224.1	-1.49490517	-1.649013888	1.287340718	-0.185708733	0.279500712	0.159791031	1.046597216	0.293510613	0.262887502
AC005224.4	-0.470301048	-1.343112638	-0.853096485	1.632735606	0.921696631	0.831861234	-0.816358639	-0.381039464	0.477614804
AC005253.1	-0.18060924	2.434185118	0.424148103	-0.515013614	-0.570656652	-0.062188419	-1.048266345	-0.403026109	-0.078572843
AC005261.1	-1.314488287	0.506957344	1.152441154	1.134409078	-0.782391308	-0.242740705	-0.119571203	-1.320297582	0.985681509
AC005329.1	-0.732570531	1.24164429	1.19763504	-0.187512286	-1.727101263	0.012796712	-0.745058316	-0.01574525	0.955911603
AC005332.4	-0.250174305	0.072999116	1.827993548	0.311731687	-0.757155769	0.910109051	-0.270314527	-1.733868937	-0.111319865
AC005332.5	-0.351493473	1.475985346	0.801695353	-0.005254494	-0.63872965	1.056167536	-0.651626262	0.074380804	-1.76112516
AC005332.6	1.236057374	1.565857028	-0.342370561	-0.431971211	-0.691617282	0.555723242	-0.348232654	0.12741433	-1.670860266
AC005498.3	-0.311685094	1.469786152	0.241410766	1.020944885	-0.983399385	0.390447893	-1.187869035	-1.296252799	0.656616617
AC005586.1	0.297118173	-1.535274555	-0.884253966	0.959631661	-0.844966329	0.591968856	-0.641157716	0.667296685	1.389637192
AC005674.2	-0.491001765	-0.383702117	-0.339314667	1.332768359	-0.696448676	-1.131976902	-0.085617868	-0.182862669	1.978156305
AC005726.1	-1.345540891	1.440565617	-1.433596932	-0.499964469	1.051490205	-0.408410167	0.212888321	0.425505813	0.557062501
AC005736.1	0.324115592	-0.038464733	-0.168746954	-0.590159096	-0.184925886	0.406497205	0.131193945	-1.849309687	1.969799615
AC005776.2	-1.018432975	-1.78506891	-0.034180698	0.551105797	0.604501817	-0.40823216	0.020178249	1.666030939	0.404097941
AC005822.1	0.462618002	-1.540954879	-0.933783154	0.599580161	0.488570703	-0.657294399	-0.802684215	1.083917022	1.30003076
AC005839.1	0.856621505	-0.098861826	-0.500570696	0.171535033	0.069108312	0.521820001	0.963907777	0.387166106	-2.370726213
AC005863.1	-0.433127906	-1.499660897	1.382004054	0.888465734	-0.245054795	0.802966958	-1.067339305	-0.62311969	0.794865848
AC005865.2	0.135173262	-1.398963667	-2.00248255	0.79420857	0.275886242	0.373397202	0.411656037	0.665009378	0.746115526
AC005912.1	0.515416537	2.22775166	-1.128494839	-0.432957216	-0.047375881	-0.282437819	-1.009606041	0.392508154	-0.234804554
AC006001.2	-0.056966743	-1.634286234	-1.587972552	-0.128475484	0.173814194	0.532418391	0.926900406	0.745281181	1.029286841
AC006001.3	-0.555544549	-2.135187235	-0.586505102	0.08373584	0.490508842	0.533247139	1.193265477	0.909995453	0.066484136
AC006058.1	-0.463268447	-1.324251772	1.038954186	1.338757183	0.153048171	1.157131304	-0.164815381	-0.504166371	-1.231388874
AC006058.3	-0.555300066	-0.162454843	0.72895359	0.046884155	-0.762845343	0.270067616	0.500321368	-1.79694679	1.731320313
AC006058.4	-0.455498697	-1.6131778	1.154482833	1.262878606	0.220431207	0.985978569	-0.102463849	-0.429520369	-1.023110499
AC006111.2	-0.495305781	-2.296797803	0.553544226	0.423927826	-0.200593653	-0.026571743	0.839608942	1.113320017	0.088867968
AC006115.2	-0.386697438	1.284480539	1.260017719	0.149341846	0.051294494	-0.158457024	-1.910654472	-0.804371958	0.515046295
AC006116.11	-0.742707057	-0.806205905	-1.181345423	1.225926753	-0.677062292	0.100119439	0.282528322	-0.031739552	1.830485715
AC006128.1	0.95519231	0.507410499	-0.996886734	-0.95147033	-1.25562087	1.264082959	-0.778721436	0.202929377	1.053084224
AC006213.1	-0.018392544	1.538983638	0.288367051	0.893149351	-1.997192201	-0.259656177	-0.746431224	0.364606899	-0.063434795
AC006277.1	-1.148881854	0.49964373	1.600203523	0.785163446	-1.501045982	0.191998131	-0.034885064	-0.86136692	0.469170989
AC006329.1	0.162633105	0.072724389	-1.344360116	0.258668878	1.00065518	-0.489452069	0.939262186	1.076684277	-1.676815828
AC006333.2	-0.331257685	0.149997043	-0.078765866	-0.313294387	-0.91691596	1.760955437	0.34237517	-1.632546525	1.019452774
AC006372.4	0.422484398	-0.829618086	-1.134135076	-0.484316745	-0.981725595	-0.048626336	1.149494315	1.821457172	0.084985952
AC006435.2	-1.137042556	1.11266506	1.061001321	-1.815845902	0.218738599	0.398892463	-0.486399327	-0.119061671	0.767052013
AC006449.5	0.576663027	0.686564441	0.566933076	-1.383015462	-1.08182285	-0.019117471	-0.582635291	-0.54096416	1.777394689
AC006449.6	0.092662445	0.563933322	-0.590778544	-0.281264174	-1.259393481	0.737636827	1.005003529	-1.560292884	1.292492959
AC006453.2	-0.701829	0.151319006	0.632948829	-1.412186575	1.028690146	0.030379022	1.397415695	0.286036604	-1.412773727
AC006487.1	0.158343496	-0.680237109	-1.206940884	1.042683714	0.305876446	1.083178886	-1.157806423	-0.834972876	1.28987475
AC006504.1	-0.398318711	-1.882881082	0.160451898	1.275580224	1.057098565	0.29681799	0.461009669	0.129509558	-1.099268112
AC006504.5	-0.825866165	1.108938887	1.073065739	0.698904359	0.720942026	-0.225298466	0.096428089	-1.750663518	-0.896450951
AC006538.1	-0.57636341	-1.415548724	1.011536269	1.417141535	-0.913811705	-0.356921135	-0.478002	0.117018313	1.194950857
AC006547.1	1.087353648	-1.121758049	0.420093544	0.611797802	0.562890892	0.271982707	-1.885512022	-0.701832427	0.754983905
AC006946.2	-0.630696738	1.090506667	0.990420076	0.850179331	-0.967659346	-0.174795116	0.453203491	0.252497617	-1.863655982
AC006978.1	-0.465436947	1.159631903	1.227966752	0.835702116	-0.660784257	0.798228139	-1.417635155	-0.907759945	-0.569912607
AC007040.2	1.11730561	0.715616433	-0.703180325	-0.353712315	-0.321743192	1.058295899	0.300720144	0.247032603	-2.060334856
AC007041.1	-0.470549258	-1.517470123	-1.128457036	0.900747711	0.864634532	0.112040946	1.555471029	0.125877195	-0.442294995
AC007066.2	-0.217196167	-0.368029617	1.148480994	0.942551895	-1.259461483	1.37857613	-0.865074039	-1.116882003	0.357034289
AC007182.2	0.727982742	1.530224153	-1.309307397	0.703755512	0.011892086	-0.397743047	-1.630351487	0.046815954	0.316731483
AC007191.1	-0.261903758	0.520439764	0.646523214	0.693395159	0.066568848	1.22219633	-2.026504773	-1.057425137	0.196710354
AC007207.1	0.015099196	0.697786456	-0.756133782	-1.7587178	0.414409656	-0.607875464	1.602716222	0.771240141	-0.378524625
AC007238.1	-0.148317156	-1.487428002	-0.423265886	1.52678848	0.557738597	-0.507509095	1.47028086	-0.629426688	-0.35886111
AC007240.1	-0.083376255	0.071033962	1.445416481	-2.187860891	0.797094609	-0.005721467	0.551029978	-0.307324479	-0.280291936
AC007285.1	0.201173632	-1.557651267	-0.363914948	-0.536394375	0.670001848	0.702197756	0.867084805	1.316253721	-1.298751171
AC007292.2	-0.401605678	-2.120630978	0.873512835	0.792997057	-0.603309972	0.356798085	0.056672518	-0.151258583	1.196824715
AC007318.1	-0.181866318	1.051762413	-1.833782188	0.314248958	0.993894023	-1.186794553	-0.014758561	0.992211811	-0.134915584
AC007318.2	1.30553905	-1.192916218	-1.153527702	-0.977409709	-0.33440685	-0.112344729	1.323904556	0.741263741	0.39989786
AC007325.4	0.519213267	-0.162412651	-0.098424047	1.266555294	-1.341272531	0.850083066	-1.332567343	-0.78550811	1.084333055
AC007390.2	0.431595591	1.158363957	0.139395982	0.126662759	0.138907583	0.470376185	-0.108579792	0.126827539	-2.483549804
AC007406.5	-1.26933832	-0.872250096	1.235895424	1.558249351	-1.024985763	0.569133356	-0.401582112	0.342873213	-0.137995052
AC007448.4	-1.288940732	-1.123577498	1.713734414	0.355834811	-1.168168575	0.139881292	0.474128068	0.474222579	0.422885641
AC007485.2	-1.566401195	0.149491604	0.635876613	1.422687584	0.463348512	-0.186750264	0.484774505	-1.603412737	0.200385378
AC007541.1	-0.396262754	1.206686073	0.429479311	0.269048906	-1.806643483	1.046928916	-0.134662081	-1.191323334	0.576748445
AC007686.3	-0.949252716	-0.382088993	1.085308509	1.203031482	-0.977882817	-0.190904427	0.43482609	-1.360738754	1.137701625
AC007731.1	-0.564309761	-2.068540677	-0.93362791	0.38040487	0.738761433	0.270256367	0.73733109	0.413710795	1.026013794
AC007773.1	0.305213806	-1.224525245	0.118476516	-1.065921645	0.430882858	1.720391006	0.203188257	-1.231662917	0.743957364
AC007842.1	-1.260200293	0.229170611	0.683547701	1.124305492	-1.39316719	0.40597413	-1.005946475	1.2289258	-0.012609774
AC007923.1	0.143894667	0.02952393	-2.056642456	-0.404655109	1.060675358	-0.081661556	1.066756767	0.922901957	-0.680793557
AC007950.1	-1.138613818	1.719975066	0.337881166	0.821942398	0.809614679	-1.042351767	-0.013251039	-0.529039344	-0.96615734
AC007969.1	0.158315938	2.144821821	-0.751365178	0.409182812	-0.312855082	-1.326066278	-0.225931008	0.556391382	-0.652494406
AC008014.1	-0.898517438	-0.247142459	2.020470379	-0.466556987	0.8437606	0.310057649	0.205216484	-0.425508926	-1.341779302
AC008026.1	0.727181077	1.783606248	-1.365647346	-0.794893004	0.103769278	-0.591711984	-0.296360188	1.007656224	-0.573600305
AC008038.1	0.392596089	2.360045044	-0.980919606	0.265289474	-0.176914583	-0.406277035	-0.616427199	-0.020877793	-0.816514391
AC008055.2	0.943313127	0.346580105	0.554505325	-0.048726969	0.449252769	0.921956405	-2.244598486	-0.748226299	-0.174055977
AC008124.1	-0.601942165	1.271897859	0.578658205	0.338517644	-0.084636079	-0.178020369	1.367014688	-1.202811947	-1.488677836
AC008163.1	-0.767809411	1.190243899	-0.061569635	-1.148967654	0.544584983	-1.21536386	1.686402056	-0.228551106	0.001030728
AC008393.1	-0.685785656	0.019116976	1.484663968	0.792730232	-0.479782049	-0.093126961	-0.273373585	-1.812413967	1.047971042
AC008403.1	0.301544519	2.186298618	0.517256349	-1.438395761	-0.392123376	0.071082468	-0.194577154	-0.377947952	-0.673137712
AC008429.2	1.356107119	0.244223775	-1.284006561	0.547929937	0.378266261	-0.692600637	0.575960619	0.569339095	-1.695219608
AC008443.1	-0.620944864	1.338829463	0.888555467	-0.00043454	0.148389442	1.218468616	-0.369467012	-1.315914728	-1.287481845
AC008443.3	-1.339974603	-0.543245958	0.189730949	-0.660743887	0.408568745	0.591205276	1.535329833	1.037998414	-1.218868768
AC008543.1	0.08549244	0.515942784	-0.390773133	-0.238920471	-1.43441362	-1.14447142	1.314614537	1.536720323	-0.244191439
AC008554.1	0.591248099	0.943649922	-1.733769391	0.696963627	-0.758840516	-0.501425082	-0.659856103	0.005863702	1.416165742
AC008687.4	-1.251599798	-0.92524453	1.313611182	0.807832331	-0.989959212	-0.79876382	0.380469181	0.304445233	1.159209434
AC008691.1	0.305811061	0.428644045	2.14839711	0.285648389	-0.398187715	0.056513616	-0.581164932	-1.170479773	-1.075181803
AC008735.2	-1.145697526	-1.172147949	-0.51010315	0.310788335	0.170947117	1.021577206	-0.315355348	-0.284444042	1.924435356
AC008755.1	-0.566777338	-2.225523627	0.724285757	0.345439707	0.369739944	-0.272498643	0.979241211	0.916045241	-0.269952249
AC008764.2	-1.403912097	-0.636438127	0.914892651	1.32308943	-1.036699767	-0.37983993	-0.081785471	-0.044192019	1.344885331
AC008764.6	-0.588691495	0.621759648	1.028634474	0.813197137	-1.538819972	0.814286845	-1.199254142	-0.709396605	0.758284109
AC008764.8	-0.280817678	-0.548155359	1.410075093	1.316066933	-0.999611233	0.473397489	-1.356808858	-0.653588875	0.639442488
AC008771.1	0.758427301	0.949638105	0.363725668	-1.541563587	-0.662182332	1.120612644	-0.908467045	-0.903656335	0.823465581
AC008840.1	-0.528634714	-2.21724561	0.860722406	1.236052864	-0.020898312	0.217277638	-0.191358708	-0.027250393	0.671334829
AC008870.2	0.061392301	0.15456118	-0.494512898	-1.308293044	1.176891347	0.548540411	0.517385354	1.058986652	-1.714951303
